"","CityName","RegionName"
"1","Ji-Parana","Rondonia"
"2","Porto Velho","Rondonia"
"3","Cruzeiro do Sul","Acre"
"4","Rio Branco","Acre"
"5","Manaus","Amazonas"
"6","Parintins","Amazonas"
"7","Boa Vista","Roraima"
"8","Rorainopolis","Roraima"
"9","Ananindeua","Para"
"10","Belem","Para"
"11","Santarem","Para"
"12","Laranjal do Jari","Amapa"
"13","Macapa","Amapa"
"14","Araguaina","Tocantins"
"15","Palmas","Tocantins"
"16","Imperatriz","Maranhao"
"17","Sao Luis","Maranhao"
"18","Parnaiba","Piaui"
"19","Teresina","Piaui"
"20","Caucaia","Ceara"
"21","Fortaleza","Ceara"
"22","Mossoro","Rio Grande do Norte"
"23","Natal","Rio Grande do Norte"
"24","Campina Grande","Paraiba"
"25","Joao Pessoa","Paraiba"
"26","Jaboatao dos Guararapes","Pernambuco"
"27","Recife","Pernambuco"
"28","Arapiraca","Alagoas"
"29","Maceio","Alagoas"
"30","Aracaju","Sergipe"
"31","Lagarto","Sergipe"
"32","Feira de Santana","Bahia"
"33","Salvador","Bahia"
"34","Belo Horizonte","Minas Gerais"
"35","Uberlandia","Minas Gerais"
"36","Vila Velha","Espirito Santo"
"37","Vitoria","Espirito Santo"
"38","Rio de Janeiro","Rio de Janeiro"
"39","Sao Goncalo","Rio de Janeiro"
"40","Guarulhos","Sao Paulo"
"41","Sao Paulo","Sao Paulo"
"42","Curitiba","Parana"
"43","Londrina","Parana"
"44","Florianopolis","Santa Catarina"
"45","Joinville","Santa Catarina"
"46","Caxias do Sul","Rio Grande do Sul"
"47","Porto Alegre","Rio Grande do Sul"
"48","Campo Grande","Mato Grosso do Sul"
"49","Dourados","Mato Grosso do Sul"
"50","Cuiaba","Mato Grosso"
"51","Rondonopolis","Mato Grosso"
"52","Aparecida de Goiania","Goias"
"53","Goiania","Goias"
